Lens ID,Title,Publication Year,Publication Type,Source Title,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Keywords
000-268-237-593-113,Combined Process of Chlorination Roasting and Acid Leaching of Lead and Silver from Lead Cake.,2026,journal article,"Materials (Basel, Switzerland)",MDPI AG,Switzerland,Biserka Lucheva; Peter Iliev; Nadezhda Kazakova,"This study evaluates an integrated approach for recovering lead and silver from lead cake through chlorination roasting followed by acid leaching. The lead cake originates from sulfuric acid leaching of zinc ferrite residues obtained during the hydrometallurgical processing of zinc calcine. The effects of roasting temperature, lead cake-to-NaCl mass ratio, and roasting duration on metal recovery were systematically examined to determine optimal process conditions. Based on the experimental results, roasting at 550 °C for 1.5 h with a lead cake-to-NaCl mass ratio of 1:3, followed by leaching in 1 M HCl, was selected as a representative and sufficiently effective condition for the combined process. Under these conditions, nearly complete dissolution of Pb and Ag was achieved, reducing their contents in the final solid residue to 0.90% and 0.0027%, respectively. Compared to direct chloride leaching, the combined process provided higher extraction efficiencies (Pb 98.67%, Ag 98.09%) and a lower final residue mass (34% vs. 45%). The roasting step enables the solid-state conversion of PbSO<sub>4</sub> into highly soluble chloride phases (PbCl<sub>2</sub> and Pb(OH)Cl), while ZnFe<sub>2</sub>O<sub>4</sub>, Fe<sub>2</sub>O<sub>3</sub> and SiO<sub>2</sub> remain stable and form the inert matrix of the residue. Acid leaching at a lower solid-to-liquid ratio (1:10) ensures near-complete dissolution of Pb and Ag, whereas aqueous leaching at a high ratio (1:100) results in incomplete Pb removal. The compliance leaching test (EN 12457-2) confirmed that the residue produced after the optimized two-step treatment meets the EU criteria for inert waste. Overall, the proposed combined process enhances Pb and Ag recovery, minimizes environmental risk, and offers a technically robust and sustainable route for treating lead-containing industrial residues.",19,1,acid leaching; chlorination roasting; lead cake
000-327-018-837-082,"Two new species of Euscorpius (Scorpiones: Euscorpiidae) from Bulgaria, Serbia, and Greece",2026,dataset,The Catalogue of Life,,,Victor Fet; Matthew R. Graham; Michael M. Webber; Gergin Blagoev,,,,
000-338-901-308-378,Occurrence Download,2026,dataset,Global Biodiversity Information Facility,,,GBIF.org User,"A dataset containing 5793745 species occurrences available in GBIF matching the query: { ""and"" : [ ""TaxonKey is one of (Ericaceae, Empetraceae, Pyrolaceae, Monotropaceae)"", ""Country is one of (Albania, Andorra, Austria, Bosnia and Herzegovina, Belgium, Bulgaria, Belarus, Switzerland, Cyprus, Czechia, Germany, Denmark, Estonia, Spain, Finland, France, United Kingdom of Great Britain and Northern Ireland, Greece, Croatia, Hungary, Ireland, Iceland, Italy, Liechtenstein, Lithuania, Luxembourg, Latvia, Monaco, Moldova, Republic of, Montenegro, North Macedonia, Malta, Netherlands, Norway, Poland, Portugal, Romania, Serbia, Russian Federation, Sweden, Slovenia, Slovakia, San Marino, Türkiye, Ukraine, Holy See, Kosovo)"", ""HasCoordinate is true"", ""OccurrenceStatus is Present"", { ""not"" : { ""EstablishmentMeans"" : [ ""is one of (INTRODUCED, INVASIVE, CULTIVATED, MANAGED)"" ] } } ] } The dataset includes 5793745 records from 2885 constituent datasets; see https://api.gbif.org/v1/occurrence/download/0025685-260208012135463/datasets/export for details. Data from some individual datasets included in this download may be licensed under less restrictive terms.",,,
000-444-464-368-194,Denial of access to sexual and reproductive health services in Europe: an analysis of cases from the European court of human rights (1976-2023).,2026,journal article,Reproductive health,Springer Science and Business Media LLC,United Kingdom,Elisa Groff; Florian Steger,"In June 2021, the European Parliament agreed to ensure universal and adequate access to high-quality sexual and reproductive health (SRH) care and to promote SRH education in all European Member States, in accordance with the European Convention on Human Rights. The aim of this research was to systematically pursue a qualitative analysis of applications concerning the denial of access to SRH services which have been brought before the European Court of Human Rights (ECtHR) up to December 2023 from an ethical perspective. A systematic search of judgments by the ECtHR was conducted in the HUDOC database using a combination of keywords resulting in nine thematic search categories. A thematic analysis approach was then used to describe and interpret the judgments through the lens of intersectionality and according to the four bioethical principles of “autonomy”, “beneficence”, “non-maleficence” and “justice”. N = 23 judgments from n = 15 EU Member States of the Council of Europe that met the research objectives were included in the descriptive analysis. These confirmed the violation of Articles 3, 5, 8 and 10 of the Convention. Violations of SRH services are indicators of social and public health policies that increase the vulnerability of marginalised groups. Our analysis shows that the discourse on access to SRH needs to shift from reproductive choices being unavailable to marginalised people to reproductive rights. Given the complexity of scientific advances in biomedicine and in response to evolving reproductive health needs, SRH services in Europe need to be monitored by the EU to secure equitable and non-discriminatory access.",23,1,Abortion; Access to sexual and reproductive health; Medical ethics; Reproductive coercion; Reproductive justice; Sexual rights
000-601-743-028-48X,"Potamophylax rilaensis sp. nov. (Trichoptera: Limnephilidae), a new species of the Potamophylax winneguthi Species Cluster from Bulgaria",2026,dataset,The Catalogue of Life,,,Halil Ibrahimi; Janos Oláh; Tibor Kovács,,,,
000-854-416-487-369,Occurrence Download,2026,dataset,Global Biodiversity Information Facility,,,GBIF.org User,"A dataset containing 16231 species occurrences available in GBIF matching the query: { ""and"" : [ ""TaxonKey is Maculinea teleius"", ""Country is one of (Albania, Austria, Bosnia and Herzegovina, Belgium, Bulgaria, Belarus, Switzerland, Cyprus, Czechia, Germany, Denmark, Estonia, Spain, Finland, France, United Kingdom of Great Britain and Northern Ireland, Greece, Croatia, Hungary, Ireland, Italy, Lithuania, Luxembourg, Latvia, Moldova, Republic of, Montenegro, North Macedonia, Malta, Netherlands, Norway, Poland, Portugal, Romania, Serbia, Sweden, Slovenia, Slovakia, Türkiye, Ukraine, Kosovo)"", ""HasCoordinate is true"" ] } The dataset includes 16231 records from 164 constituent datasets; see https://api.gbif.org/v1/occurrence/download/0016494-260208012135463/datasets/export for details. Data from some individual datasets included in this download may be licensed under less restrictive terms.",,,
000-932-655-989-893,Advanced polyethersulfone membranes with silver-loaded zeolite for simultaneous heavy metal removal and antibacterial protection,2026,journal article,Colloids and Surfaces A: Physicochemical and Engineering Aspects,Elsevier BV,Netherlands,Ioana-Antonia Iftimie; Diana Serbezeanu; Tăchiţă Vlad-Bubulac; Alexandra Bargan; Daniela Rusu; Anca Filimon; Mihaela Homocianu; Gabriela Lisa; Cristina Mihaela Rîmbu; Yuri Kalvachev,,738,,
001-068-111-033-444,Sheep shearing,2026,other,The British Museum,,,Marina Miron,"Documentation in the barn on May 6 (St. George's Day, patron saint of Bessarabian Bulgarians and of sheep farming) about the process of shearing sheep and collecting wool as raw material for the production of woolen yarn for weaving. Video recording of the sheep shearing process by Petar Taukci, recorded by Viorel Miron - the assistant to the principal investigator.",,,
001-226-903-426-757,Effect of Environmental Temperature and Humidity on the Detection of Alcohol Denaturants Using Metal-Phenolic Film-Coated Quartz Crystal Microbalances,2026,journal article,IEEE Sensors Journal,Institute of Electrical and Electronics Engineers (IEEE),United States,Karekin D. Esmeryan; Yuliyan Lazarov; Gabriela V. Kotseva,"The illicit alcohol trading is a serious global problem, because about 25–40 % of all spirits distributed worldwide are adulterated, causing dozens of deaths and hundreds of hospitalizations amongst the adolescents and young adults. The battle against the counterfeit alcohol consumption can be won by the incorporation of a miniature metal-phenolic film-coated quartz crystal microbalance (MPF-QCM) into a wireless portable electronic device for point-of-use analysis of fermented beverages, but the impact of psychrometric conditions on the detection of denatured alcohol is still unclear. We address this lack of knowledge by analyzing the resonance response of two nominally identical 5 MHz MPF-QCMs towards alterations in the temperature and humidity, while in such conditions examining their detection efficiency to the saturated vapor of methanol, ethanol, isopropanol or mixtures of these alcohols. The implementation of more than 180 experimental cycles reveals that the as-prepared MPF-QCMs are not substantially affected by the ambient atmosphere and even in highly-humid environments, a resolution of 3.6 mg/L methanol is reachable, which is close to the dose inflicting blindness (3.2 mg). The sensors are also capable of differentiating sub-milliliter and milliliter volumes of two toxic denaturants in ethanol (resolution of ~0.13 mL/100 mL) based on changes in the volatility of the background solution, generating proportional resonance frequency upshifts with respect to the baseline and shortened reaction times. This outcome confirms the strong potential of our technology for repeatable and reliable real-world assessment of the quality of various alcoholic drinks, helping to prevent the intoxication with counterfeit alcohol.",26,1,
001-231-352-953-257,New data on rotifers (Rotifera) from European waterbodies,2026,journal article,Biodiversity Data Journal,Pensoft Publishers,,Nataliia Iakovenko; Dzmitry Lukashanets; Jolanta Ejsmont-Karabin; Irena Bielańska-Grajner; Eleonora Ovander; Diego Fontaneto; Veselka Tsavkova; Luchezar Pehlivanov; Karel Janko,"<jats:p>Rotifers (Rotifera) are microscopic pseudocoelomate animals that represent one of the key components of plankton, periphyton and benthos communities in aquatic ecosystems. As members of the zooplankton, they play an important role as primary consumers of phyto- and bacterioplankton, serve as a food source for fish larvae and act as indicators of water quality. Although rotifers have been studied in Europe for over three centuries, they remain an important subject of zoological research, as their ecological characteristics and biodiversity in several European countries are still insufficiently understood. This is particularly true for bdelloid rotifers, whose study is complicated by the impossibility of reliable identification in fixed material. The availability of georeferenced data on rotifer occurrences, coupled with environmental parameters, is of great importance for such studies, yet such data on the GBIF platform are not complete for many aquatic rotifer species.</jats:p>;                   <jats:p>We present new georeferenced data on rotifers in all major types of European freshwater and brackish inland waterbodies: lotic (rivers, streams, brooks, waterfalls, canals), lentic (lakes, ponds, swamps, bogs, marshes, puddles, cryoconite holes and other temporary waterbodies) and transitional (estuaries). The littoral zone of the Black Sea and the southern coast of the English Channel (La Manche) are represented as marine habitats in this dataset. Twenty-five protected areas were surveyed during this study.</jats:p>;                   <jats:p>;                     The survey was conducted from 1976 to 2021. In total, we added to GBIF 4,862 new occurrences of Phylum Rotifera, including the classes Eurotatoria (subclasses Monogononta and Bdelloidea) and Pararotatoria. The dataset substantially expands the information on the distribution of still inadequately studied bdelloid rotifers (Bdelloidea) available through GBIF (1,514 new occurrences are added). We focused our study on aquatic communities that have received less attention than planktonic ones, such as periphytic, benthic and psammic rotifers and commensals on aquatic invertebrates. We also added new data on rotifers in waterfalls (6 species), temporary waterbodies (153 taxa of species rank) and tree hollows (5 species). Three species amongst those recorded are new to the fauna of Ukraine:;                     <jats:italic>Lecane elsa</jats:italic>;                     Hauer, 1931,;                     <jats:italic>Lindia pallida</jats:italic>;                     Harring &amp; Myers, 1922,;                     <jats:italic>Paradicranophorus aculeatus</jats:italic>;                     (Neizvestnova-Zhadina, 1935).;                   </jats:p>",14,,
001-700-482-385-939,2022SG10 Guide to the Dataset,2026,dataset,The British Museum,,,Marina Miron,"Guide to the Collection for the project Between presence and disappearance of traditional Bulgarian textiles of Stoianovca, Republic of Moldova.",,,
002-290-824-179-834,Influence of the milker on milkability of cows of the Bulgarian Rhodope Cattle breed,2026,journal article,Bulgarian Journal of Animal Husbandry,Agricultural Academy,,Atanaska Zgurova; Vasil Nikolov,"<jats:p>The milker's influence on the cows' milkability was studied in the local mountain breed, Bulgarian Rhodope cattle. The study included 18 cows, and on the 30th day after calving, the speed of the milk flow was measured at each milking at an interval of 30 seconds for 5 consecutive days. The average daily milk yield of the cows was 16.5±0.12 kg, and the milkability was 1.197±0.016 kg/min. The milker has a reliable influence on the milkability of the cows (P&lt;0.001) through the duration of milking (P&lt;0.001). The latter is determined both by the individual reaction of the cows to the milker and by his subjective decision to remove the milking apparatus and terminate milking. The difference in milking time for the same cows by different milkers is from 1.56 to 61.56 %, with the difference in milk yield being from 0.546 to 33.41 %.</jats:p>",63,1,
002-373-207-358-785,Scientific Reports from the 16‐th Scientific Conference of the Bulgarian Focal Point,2026,journal article,Food Risk Assess Europe,Wiley,,,,4,1,
002-623-651-381-120,A play to banish the darkness,2026,book chapter,Routledge Handbook of Dark Events,Routledge,,Richard Fawcus,"In Bulgarian folk tradition, the kukeri are performers who conduct public rituals and visit homes each January to symbolically banish the winter and its attendant evil spirits, thereby welcoming the return of spring. Dressed in costumes made from fur, wool and wood, they wear noisy cattle bells and may be adorned with macabre elements, including real or crafted animal skulls and other taxidermied parts. As in UK mumming traditions, the troupe (including archetypes such as a priest, a king, young lovers and death personified) perform short plays depicting death, procreation and rebirth. Believed to be thousands of years old with its roots in antiquity, the tradition has survived through eras of Ottoman occupation and communist rule. Scholarly work on the subject has considered the kukeri from archaeological and anthropological perspectives and examines the contemporary kukeri within a paradigm of post-socialist national and folk revival. This chapter explores new dimensions by assessing the tradition through the lens of dark event studies. The chapter critically evaluates the performance of this public dark ritual as a mode of ‘domesticating death’, as well as exploring the transtemporal nature of such dark symbolism and its role in building and maintaining a shared national identity.",,,
002-871-909-963-148,Drawing competition about traditional Bulgarian carpets among students of the gymnasium in Stoianovca,2026,other,The British Museum,,,Marina Miron,"The work of the student Shlyachtytsky Severin, 11 years old, age category 11-14 years. He participated in the drawing and essay competition with the general title ""My Grandmother's Carpet"", held between 17.11.2023 - 15.12.2023. The main theme of the drawing competition was ""My Grandmother's Carpet is the Most Beautiful in the World - Come See It!"".",,,
002-927-638-447-896,PM 10 — Emotional Resilience & Dynamic Stability,2026,report,Zenodo (CERN European Organization for Nuclear Research),,,Jamel Bulgaria; Jamel Bulgria,"0. Purpose and Canonical PositionPM-10 is the tenth Practitioner Manual in the CEF applied series.Where:• PM-1: Operator Activation• PM-2: Facet Differentiation• PM-3: Structural Disassembly• PM-4: Fusion & Overflow• PM-5: Center Rebalancing• PM-6: Transitions• PM-7: Modulation & Stability• PM-8: Reintegration• PM-9: Capacity & ThresholdsPM-10 teaches practitioners how to maintain emotional resilience and dynamicstability — the system’s ability to stay coherent under changing load, context, andactivation.It is the applied companion to:• TS-3 — Modulation Architecture• TS-7 — Structural Psychopathology• TS-10 — Reintegration• TS-11 — Facet Architecture• TS-12 — Dynamic Stability (implicit in TS-3/TS-10)PM-10 does not provide clinical treatment or diagnosis.It defines structural, modality-agnostic protocols for emotional resilience anddynamic stability.",,,
003-053-989-252-312,Model-based analysis of seasonal hypoxia: The Varna Lake–Bay case study,2026,journal article,Ecological Modelling,Elsevier BV,Netherlands,E. Yakushev; A. Berezina; Sh. Yakubov; M. Novikov; P. Ghaffari; B. Dzhurova; O. Hristova; R. Vogt; S. Ranneklev,,515,,
003-063-328-591-017,THE EDUCATIVE ROLE OF THE ANDRAGOGUE: FACILITATION AND MENTORSHIP IN ADULT DEVELOPMENT,2026,other,Zenodo (CERN European Organization for Nuclear Research),,,null Dr. Avi Abner*,"Abstract: The article examines the educative role of the andragogue within the field of adult learning, with particular emphasis on the convergence of facilitative and mentoring functions within a purposeful, adaptive and supportive model of practice. It traces the need to move beyond a traditional understanding of teaching as one-directional transmission of knowledge, and advances the view of the adult learner as an autonomous individual whose experience constitutes a formative intellectual resource. Drawing on contemporary theoretical and empirical considerations, the study introduces a model articulated through five sequential stages: orientation and diagnostic assessment; negotiation of goals and learning direction; experiential engagement with content; reflective reinterpretation of newly acquired knowledge; and continued mentoring after the formal completion of instruction. The model is applicable both in general educational contexts and in work with vulnerable adult groups, where support and trust form the basis for renewed motivation and responsible participation in learning. The central argument presented is that facilitation does not diminish the role of the educator; rather, it redefines that role by positioning the andragogue as a co-participant and partner in knowledge construction. Mentorship is therefore not an auxiliary function but an extended phase of learning which sustains critical reflection and enables the practical application of new competences. Taken together, the stages form a coherent framework through which the andragogue emerges as an architect of developmental processes, rather than a passive transmitter of information.",,,
003-562-871-617-967,Machine Learning-Based Blood Pressure Prediction Using Cardiovascular Disease Data: A Comprehensive Comparative Study,2026,journal article,Electronics,MDPI AG,,Irina Naskinova; Mikhail Kolev; Dilyana Karova; Mariyan Milev,"<jats:p>Hypertension remains one of the most pressing public health challenges worldwide, affecting more than one billion individuals and serving as a principal risk factor for cardiovascular morbidity and mortality. Whilst blood pressure measurement constitutes a routine component of clinical practice, the capacity to predict blood pressure values from readily obtainable patient characteristics could substantially enhance preventive care strategies and facilitate timely intervention. The present study examines whether machine learning methodologies can reliably forecast blood pressure measurements utilizing cardiovascular risk factors in conjunction with demographic and anthropometric data. We have analyzed data from 68,616 individuals following rigorous quality assessment of 70,000 patient records obtained from Kaggle’s cardiovascular disease repository. Beyond the 10 original variables, we engineered additional features encompassing demographic patterns, body composition indices, clinical risk indicators, and their interactions. Nine distinct predictive models were systematically evaluated, spanning from elementary baseline approaches through to sophisticated gradient boosting ensembles. CatBoost demonstrated superior performance, yielding systolic blood pressure predictions with a root mean squared error (RMSE) of 14.37 mmHg and coefficient of determination (R2) of 0.265, alongside diastolic blood pressure predictions with RMSE of 8.57 mmHg and R2 of 0.187. These modest explained variance values—substantially below unity—reveal a fundamental limitation: blood pressure proves remarkably resistant to prediction from the demographic, anthropometric, and clinical variables typically available in epidemiological datasets. These findings illuminate a sobering reality regarding blood pressure prediction from routinely collected clinical data. The observation that standard variables account for merely one-quarter of blood pressure variance should temper expectations for machine learning applications within this domain, whilst simultaneously underscoring the necessity for richer data sources or novel biomarkers to achieve clinically meaningful predictive accuracy.</jats:p>",15,2,
003-743-136-358-439,Balclutha frontalis,2026,journal article,Zenodo (CERN European Organization for Nuclear Research),,,Radost Angelova; Ilia Gjonov; Apostolos Trichas,"Balclutha cf. frontalis (Ferrari, 1882) Distribution Literature data: Chania: no specific location (Koufakis et al. 2024); Platanos (Dlabola 1977). New data: Chania: Kedrodasos Beach. Rethymno: Geropotamos bridge. Heraklion: Analipsi; Gazi; between Stalida and Mochlos. Notes Collected by sweep netting from May to July up to 419 m a. s. l.",,,
003-797-679-513-830,Core Emotion Framework (CEF): Technical Specification 10 (TS-10),2026,report,Zenodo (CERN European Organization for Nuclear Research),,,Jamel Bulgaria,"The Core Emotion Framework (CEF) Technical Specification 10 (TS-10) defines thecanonical therapeutic structural disassembly architecture of the CEF. Whereas TS-1through TS-9 specify the emotional architecture, validation logic, computationalstructures, simulation protocols, interoperability rules, structural psychopathology,neurodiversity calibration, and synthetic affect, TS-10 introduces the formal rules forstructural emotional disassembly — the process of isolating, differentiating, andrestoring emotional operators and facets.TS-10 does not prescribe clinical interventions, therapeutic modalities, or treatmentprotocols. Instead, it defines the structural mechanics that underlie all therapeuticwork within the CEF: operator isolation, facet differentiation, fusion dissolution,suppression release, and center-level rebalancing. These mechanics arearchitecture-level and modality-agnostic, enabling integration with any therapeuticapproach.TS-10 is the authoritative specification for structural emotional disassembly withinthe CEF canon and provides the foundation for practitioner-level manuals, appliedprotocols, and the EL-Series lexicon.",,,
004-175-936-524-013,Proceps acicularis Mulsant & Rey 1856,2026,journal article,Zenodo (CERN European Organization for Nuclear Research),,,Radost Angelova; Ilia Gjonov; Apostolos Trichas,"* Proceps acicularis Mulsant & Rey, 1856 Distribution New data: Rethymno: Moni Preveli. Heraklion: Siva; Kofinas. Notes New genus and new species for the fauna of Crete. The species is widespread in Europe and Central Asia (Dimitriev et al. 2022). Found in pitfall traps left throughout the year, placed at altitudes from 91 to 175 m a. s. l.",,,
004-228-507-848-737,Classification and metabolomic profiling of walnut pellicle polyphenols using a Pseudotargeted metabolomics approach.,2026,journal article,Food chemistry: X,Elsevier BV,Netherlands,Chang Liu; Mingxue Geng; Jiaxin Yin; Huibo Zhao; Bing Qi; Huiqing Li; Di Wang; Yanbing Wu; Shengxing Dai; Min Lu; Kuizhang Yao; Junxia Xia; Jiankang Deng,"Walnut pellicle is rich in polyphenols that enhance antioxidant capacity and health benefits, including anti-inflammatory and neuroprotective effects. Profiling these compounds has been hindered by their structural diversity, regional variability, and the limitations of traditional metabolomics approaches. This study employed a pseudotargeted metabolomics strategy, integrating ultra-high-performance liquid chromatography-quadrupole time-of-flight mass spectrometry (UHPLC-QTOF-MS) for untargeted profiling and multiple reaction monitoring (MRM) on a QTRAP system for semi-quantification. We analyzed 21 walnut pellicle samples from Xinjiang, Yunnan and the Taihang Mountains, identifying 406 polyphenols, including flavonoids, hydrolysable tannins, phenolic acids, coumarins, lignans and minor constituents. Multivariate analyses (PCA, PLS-DA, OPLS-DA) revealed region-specific metabolic fingerprints. KEGG pathway enrichment highlighted significant variations in flavonoid and phenylpropanoid biosynthesis across regions, with origin-specific markers like casuarinin, prunin, and ε-viniferin supporting provenance authentication. This research bridges the methodological gap in walnut polyphenol analysis and informs quality assurance, targeted breeding, and functional product development in sustainable food systems.",34,,Food authenticity; Pathway enrichment; Polyphenols; Pseudotargeted metabolomics; Regional discrimination; Walnut pellicle
004-937-580-193-695,"Democratizing Entrepreneurial Education: A Responsible, Inclusive Approach to Empower Every Learner",2026,journal article,Journal of Media & Management,Scientific Research and Community Ltd,,Yuliyan Narlev,"<jats:p>This paper explores the transformative potential of Democratising Entrepreneurial Education (EE) through a responsible, inclusive, and reflective framework that integrates both relevant knowledge and codified knowledge to address the needs of Low Literacy Learners (LLL).Traditional EE models often assume a baseline of literacy and knowledge acquisition capacity, leaving many marginalised learners without access to meaningful, empowering entrepreneurial; education. To address this gap, the paper proposes a comprehensive framework that combines codified knowledge (explicit, structured information) with relevant knowledge (context-specific, actionable insights). The application of these forms of knowledge within reflective pedagogical approaches has been shown to facilitate pathways for LLL to develop entrepreneurial competencies and participate meaningfully in lifelong learning processes. ; ; The integration of codified knowledge has been demonstrated to transform complex concepts into accessible formats, such as visual aids, simplified language and interactive experiences. These interactive experiences are considered to be of particular importance for LLL. For instance, the principles of entrepreneurial finance can be imparted through story-based learning and visual tools, as opposed to the utilisation of voluminous, text-heavy materials. Concurrently,; the integration of pertinent knowledge ensures that learning remains anchored in learners’ lived realities and immediate contexts, thereby facilitating the translation of theory into practice and nurturing agency in the application of entrepreneurial concepts to their own communities.; ; The present study is founded on the Entrepreneurship as a Method framework and it integrates Kolb’s Experiential Learning Cycle in order to offer practical strategies for educators, policymakers, and community stakeholders. By emphasising reflective practices, such as the Mia Culpa model (designed on Hägg et al.), learners can internalise entrepreneurial principles through cycles of acknowledgement, reflection, and adaptation. This reflective process deepens their understanding of entrepreneurial opportunities and empowers them to make ethical, responsible decisions that align with Sustainable Development Goals (SDGs).; ; The research under discussion uses case studies and collaborative design workshops with educators to highlight successful approaches to democratising; knowledge dissemination in EE. For instance, the use of visual and gamified learning tools that codify entrepreneurial concepts has been shown to significantly increase comprehension and engagement among. Concurrently, the integration of pertinent knowledge, contextualised to local socio-economic challenges, has been demonstrated to enhance learners’ capacity to co-create solutions and cultivate sustainable ventures.; ; The implications of this framework for entrepreneurship education are significant. Educators must rethink curricula to incorporate multimodal, codified resources while adapting them to relevant, real-world contexts. Policymakers should prioritise inclusive pedagogical strategies that align with global sustainability goals, ensuring that no learner is excluded from the entrepreneurial process due to literacy barriers. This democratised approach to EE supports the development of resilient entrepreneurial ecosystems rooted in shared responsibility and continuous learning.; ; In conclusion, the paper calls for a paradigm shift in how entrepreneurial education is designed and delivered. By integrating codified and relevant knowledge within a responsible, inclusive, and reflective learning framework, educators and institutions can unlock the entrepreneurial potential of low literacy learners. This approach is seen as a critical step toward achieving educational equity and creating a more sustainable, inclusive future for all.</jats:p>",8,1,
005-184-043-446-960,Advancing Learning Through Project-Based Approaches,2026,dataset,Zenodo (CERN European Organization for Nuclear Research),,,null Damyana Grancharova,"Project-based learning (PjBL) is widely recognized as a learner-centered teaching approach that supports active engagement, meaningful learning, and the development of transferable skills. Although it is used across different educational levels, research shows that learning outcomes vary greatly, often depending on how projects are designed, supported, and assessed. This article presents a contemporary view of project-based learning by introducing a dialogic and process-oriented tendency that places strong emphasis on inquiry, reflection, formative feedback, and learner responsibility. Drawing on research from general education, language education, teacher education, and online learning, the article brings together evidence showing how structured dialogue, feedback, and self-regulated learning can strengthen project-based approaches. A practical instructional cycle is outlined, along with assessment principles that focus on learning processes as well as final project outcomes. The article also discusses key challenges and design considerations, presenting project-based learning as a flexible and effective framework for supporting meaningful learning in non-STEM educational contexts.",,,
005-221-639-781-487,Sources of Oxidative Stress in Parkinson's Disease: Pathways and Therapeutic Implications.,2026,journal article,"Antioxidants (Basel, Switzerland)",Multidisciplinary Digital Publishing Institute (MDPI),Switzerland,Yordan Yordanov; Denitsa Stefanova; Magdalena Kondeva-Burdina; Virginia Tzankova,"Parkinson's disease (PD) is a heterogeneous neurodegenerative disorder in which oxidative stress represents a final common pathway linking diverse genetic and environmental insults to dopaminergic neuron loss. This review synthesizes evidence on how the commonly observed pathological changes in PD converge on excessive reactive oxygen species generation and redox imbalance. We present an overview on these pathways and key PD-linked genes that perturb mitochondrial quality control, lysosomal function, and inflammatory signaling, reinforcing oxidative stress. The major classes of redox-targeted therapeutic strategies under preclinical and clinical evaluation are outlined. Although many candidates show robust target engagement and neuroprotection in models, clinical trials have frequently yielded neutral or modest results, highlighting challenges related to brain delivery, off-target effects, optimal treatment window, and the fact that oxidative stress alone may be necessary but not sufficient to drive human disease progression. In the current paper, beyond cataloguing oxidative pathways, we explain the role of etiologic heterogeneity on biochemical target engagement and clinical outcomes. We outline subtype-enriched trial strategies and rational combination approaches. Targeting oxidative stress-related pathways thus remains a promising avenue for disease modification in PD, provided that future interventions are mechanistically informed and adapted to patient-specific redox vulnerabilities.",15,2,Parkinson’s disease; disease modifying; etiology; novel pharmacotherapy; personalized therapy
005-899-659-689-046,Pseudaraeopus lethierryi,2026,journal article,Zenodo (CERN European Organization for Nuclear Research),,,Radost Angelova; Ilia Gjonov; Apostolos Trichas,"Pseudaraeopus lethierryi (Mulsant & Rey, 1879) Distribution Literature data: Rethymno: Melambes Vill. (Asche and Remane 1982). New data: Rethymno: Geropotamos Bridge. Notes Collected by sweep netting in the beginning of June at 32 m a. s. l.",,,
006-059-848-688-709,Micro-scratch and wear resistance of restorative dental materials: an in vitro study,2026,journal article,Folia Medica,Pensoft Publishers,Bulgaria,Valeriya Aleksandrova; Neshka Manchorova; Veselina Todorova; Lyubomir Vangelov; Svetlin Alexandrov,"<jats:p>;                     <jats:bold>Aim</jats:bold>;                     : The study of the tribological properties of dental materials is a growing and rapidly expanding field. The aim of our research is to investigate the micro-scratch and wear resistance of different restorative dental materials.;                   </jats:p>;                   <jats:p>;                     <jats:bold>Materials and methods</jats:bold>;                     : Three restorative materials indicated for the treatment of dental caries in the distal area of the dentition were used: dental amalgam without γ;                     <jats:sub>2</jats:sub>;                     phase, with high Ag content (Cavex Non Gamma-2); a microhybrid resin-based composite material (Gradia Direct posterior); a metal alloy (Duceralloy C) was used as a positive control. All specimens were subjected to micro-scratch resistance test in 1 N, 5 N, 9 N mode, a ball-on-flat wear resistance test at 120,000/240,000 cycles loaded at 50 N. The examined surfaces of the specimens were visualized by optical microscopy and by 3D profilometry of all the specimens tested after 240,000 wear cycles.;                   </jats:p>;                   <jats:p>;                     <jats:bold>Results</jats:bold>;                     : The results are presented in the form of graphs - for each specimen, for each individual test, and for each individual cycle. The wear resistance of Duceralloy C increases after 240,000 cycles. The wear resistance of Cavex Non Gamma-2 and Gradia Direct posterior decreases with increasing time and friction cycles.;                   </jats:p>;                   <jats:p>;                     <jats:bold>Conclusion</jats:bold>;                     : The results of this study may help to elucidate the wear mechanisms and provide additional information on the expected changes in the materials tested in clinical practice.;                   </jats:p>",68,1,
